,Oraculo,Verbo,Sustantivo,Adjetivo
0,Si,vigilar,Abadesa,AFECTUOSO
1,No,aportar,Abeja,AHORRADOR
2,"Si, pero...",afectar,Accidente,ALEGRE
3,"No, pero...",detectar,Álamo,ALTIVO
4,Si y ademas...,negociar,Almena,AMABLE
5,No y ademas...,pelear,Alumno,AMBICIOSO
6,,proponer,Andamio,ANTIPÁTICO
7,,disparar,Animal,APASIONADO
8,,querer,Árbol,APOCADO
9,,solucionar,Bacteria,ASTUTO
10,,conceder,Bestia,ATOLONDRADO
11,,reunir,Caballo,ATREVIDO
12,,afrontar,Cafeto,AVARO
13,,respirar,Canción,BELIGERANTE
14,,aclarar,Carga,BOBO
15,,intercambiar,Casa,BRUSCO
16,,estimular,Constelación,BRUTO
17,,exigir,Chiquillo,BURLÓN
18,,amar,Ciudadano,CÁLIDO
19,,arreglar,Clérigo,CAMPECHANO
20,,intensificar,Collar,CARGANTE
21,,movilizar,Cuaderno,CARIÑOSO
22,,difundir,Delegado,CAUTO
23,,admitir,Diente,CELOSO
24,,describir,Espectador,CHIFLADO
25,,actualizar,Estrella,COBARDE
26,,impulsar,Estudiante,CONDESCENDIENTE
27,,coger,Flor,CONSERVADOR
28,,experimentar,Fusil,CRUEL
29,,contener,Gallina,DERROCHADOR
30,,corregir,Gato,DICHARACHERO
31,,brindar,Habitante,DILIGENTE
32,,acabar,Hincha,DINÁMICO
33,,agregar,Hoja,DISCRETO
34,,subir,Hormiga,ENCANTADOR
35,,quedar,Instrumento,ENGREÍDO
36,,hallar,Letra,ESPARTANO
37,,disminuir,Libro,ESTÚPIDO
38,,subrayar,Lobo,EXIGENTE
39,,practicar,Maíz,EXTROVERTIDO
40,,importar,Montaña,FANÁTICO
41,,restablecer,Muchacho,FANFARRÓN
42,,debatir,Mueble,FASCINANTE
43,,contratar,Músico,FIEL
44,,colocar,Navío,FILÁNTROPO
45,,ocurrir,Novillo,FRANCO
46,,reflejar,Pájaro,FRÍO
47,,erradicar,Palabra,GROSERO
48,,sufrir,Pariente,GRUÑÓN
49,,proseguir,Pelo,HOLGAZÁN
50,,recurrir,Perla,HONESTO
51,,adaptar,Perro,HONRADO
52,,atacar,Persona,HOSCO
53,,aliviar,Pez,HUMILDE
54,,casarse,Piedra,HURAÑO
55,,liberar,Pino,IDIOTA
56,,fijar,Planta,ILUSO
57,,lanzar,Plátano,IMBÉCIL
58,,entregar,Plato,INQUIETO
59,,justificar,Pluma,INSISTENTE
60,,finalizar,Pollo,INSOLENTE
61,,huir,Potro,INTELIGENTE
62,,colaborar,Problema,INTROVERTIDO
63,,sustituir,Profesor,INTUITIVO
64,,enseñar,Rama,IRÓNICO
65,,disponer,Rancho,JOVIAL
66,,suceder,Regla,LEAL
67,,escoger,Rosa,LEGAL
68,,alimentar,Siembra,LISTO
69,,armonizar,Soldado,LLANO
70,,bajar,Súbdito,LOCO
71,,representar,Tablón,LOCUAZ
72,,calcular,Tecla,MALEDUCADO
73,,retirar,Término,MENTIROSO
74,,juzgar,Vaca,MIEDOSO
75,,ocultar,Vecino,MISÁNTROPO
76,,ajustar,Vela,MODERNO
77,,renunciar,Vid,MODESTO
78,,saltar,Yegua,MORDAZ
79,,prohibir,Abecedario,ORGULLOSO
80,,diseñar,Agrupación,PARCO
81,,llenar,Alameda,PARLANCHÍN
82,,conectar,Almenaje,PEREZOSO
83,,descansar,Alumnado,PERTINAZ
84,,cometer,Andamiaje,PESADO
85,,provocar,Arboleda,PROGRESISTA
86,,convencer,Arenal,PRUDENTE
87,,emprender,Armamento,PUNTUAL
88,,comunicar,Audiencia,REBELDE
89,,comparar,Banco,REMOLÓN
90,,registrar,Banda,RETRÓGRADO
91,,recomendar,Bandada,SEVERO
92,,competir,Bestiaje,SIMPÁTICO
93,,favorecer,Bibliografía,SIMPLE
94,,intervenir,Cafetal,SINCERO
95,,rechazar,Cancionero,TONTO
96,,invitar,Cardumen,TRAMPOSO
97,,mitigar,Cargamento,TRAVIESO
98,,respaldar,Caserío,VAGO
99,,sostener,Chiquillería,VALIENTE
100,,cruzar,Ciudadanía,AFEMINADO
101,,tirar,Clan,ÁGIL
102,,aparecer,Clero,ALBINO
103,,repetir,Clientela,ALTO
104,,declarar,Colección,AMANERADO
105,,asignar,Colectividad,ANCIANO
106,,reformar,Comitiva,ANTIGUO
107,,transferir,Contingente,ASQUEROSO
108,,golpear,Coral,ATRACTIVO
109,,cargar,Cuadrilla,BAJO
110,,constituir,Delegación,BARBILAMPIÑO
111,,quitar,Dentadura,BARRIGUDO/BARRIGÓN
112,,reemplazar,Documentación,BIZCO
113,,combinar,Enjambre,CALVO
114,,afirmar,Escuadrón,CAÑIJO
115,,restaurar,Estudiantado,CASTAÑO
116,,autorizar,Familia,CEJIJUNTO
117,,planificar,Flota,CHAPARRO
118,,explotar,Follaje,CHEPADO
119,,contactar,Fusilería,CIEGO
120,,nadar,Gaterío,CLÁSICO
121,,anunciar,Gente,COJO
122,,levantar,Harén,CORPULENTO
123,,suprimir,Hinchada,CULÓN
124,,montar,Hormiguero,DELGADO
125,,reparar,Humanidad,DESCUIDADO
126,,elevar,Jauría,DESGARBADO
127,,ahorrar,Léxico,ELEGANTE
128,,influir,Lista,ENCLENQUE
129,,agradecer,Manada,ENANO
130,,efectuar,Mobiliario,ENCORVADO
131,,gritar,Montón,ENFERMIZO
